entity,timestamp,x.max() - x.min()
MyShop,2020-02-10,3.8000000000000007
MyShop,2020-02-11,4.0
MyShop,2020-02-12,3.5
MyShop,2020-02-13,9.3
MyShop,2020-02-14,10.5
MyShop,2020-02-15,12.600000000000001
MyShop,2020-02-16,10.5
MyShop,2020-02-17,11.799999999999997
MyShop,2020-02-18,10.2
MyShop,2020-02-19,8.700000000000003
MyShop,2020-02-20,6.5
MyShop,2020-02-21,2.1000000000000014
MyShop,2020-02-22,3.5
MyShop,2020-02-23,6.800000000000001
MyShop,2020-02-24,8.2
MyShop,2020-02-25,9.200000000000003
MyShop,2020-02-26,5.300000000000001
MyShop,2020-02-27,5.300000000000001
MyShop,2020-02-28,3.1000000000000014
MyShop,2020-02-29,6.0
MyShop,2020-03-01,5.399999999999999
MyShop,2020-03-02,7.399999999999999
MyShop,2020-03-03,5.300000000000001
MyShop,2020-03-04,8.2
MyShop,2020-03-05,8.799999999999997
MyShop,2020-03-06,8.399999999999999
MyShop,2020-03-07,10.399999999999999
MyShop,2020-03-08,8.7
MyShop,2020-03-09,10.200000000000003
MyShop,2020-03-10,11.0
MyShop,2020-03-11,9.899999999999999
MyShop,2020-03-12,10.099999999999998
MyShop,2020-03-13,12.2
MyShop,2020-03-14,11.200000000000003
MyShop,2020-03-15,12.399999999999999
MyShop,2020-03-16,9.700000000000003
MyShop,2020-03-17,9.299999999999997
MyShop,2020-03-18,11.5
MyShop,2020-03-19,6.800000000000001
MyShop,2020-03-20,6.199999999999999
MyShop,2020-03-21,4.200000000000003
MyShop,2020-03-22,7.5
MyShop,2020-03-23,8.700000000000003
MyShop,2020-03-24,9.2
MyShop,2020-03-25,8.799999999999997
MyShop,2020-03-26,12.600000000000001
MyShop,2020-03-27,11.7
MyShop,2020-03-28,11.0
MyShop,2020-03-29,9.8
MyShop,2020-03-30,8.5
MyShop,2020-03-31,9.5
MyShop,2020-04-01,10.0
MyShop,2020-04-02,11.299999999999997
MyShop,2020-04-03,9.5
MyShop,2020-04-04,10.3
MyShop,2020-04-05,12.0
MyShop,2020-04-06,13.099999999999998
MyShop,2020-04-07,5.100000000000001
MyShop,2020-04-08,4.1
MyShop,2020-04-09,8.5
MyShop,2020-04-10,9.6
MyShop,2020-04-11,6.800000000000001
MyShop,2020-04-12,7.599999999999998
MyShop,2020-04-13,10.3
MyShop,2020-04-14,6.0
MyShop,2020-04-15,6.700000000000003
MyShop,2020-04-16,8.8
MyShop,2020-04-17,4.199999999999999
MyShop,2020-04-18,8.4
MyShop,2020-04-19,8.7
MyShop,2020-04-20,9.100000000000001
MyShop,2020-04-21,11.6
MyShop,2020-04-22,9.100000000000001
MyShop,2020-04-23,9.600000000000001
MyShop,2020-04-24,10.100000000000001
MyShop,2020-04-25,11.600000000000001
MyShop,2020-04-26,11.599999999999998
MyShop,2020-04-27,8.599999999999998
MyShop,2020-04-28,9.099999999999998
MyShop,2020-04-29,11.499999999999998
MyShop,2020-04-30,9.5
MyShop,2020-05-01,10.5
MyShop,2020-05-02,10.0
MyShop,2020-05-03,7.1
MyShop,2020-05-04,10.900000000000002
MyShop,2020-05-05,12.8
MyShop,2020-05-06,12.8
MyShop,2020-05-07,3.0
MyShop,2020-05-08,7.300000000000001
MyShop,2020-05-09,10.299999999999999
MyShop,2020-05-10,12.899999999999999
MyShop,2020-05-11,12.400000000000002
MyShop,2020-05-12,12.900000000000002
MyShop,2020-05-13,8.9
MyShop,2020-05-14,5.100000000000001
MyShop,2020-05-15,2.1999999999999993
MyShop,2020-05-16,8.399999999999999
MyShop,2020-05-17,12.999999999999998
MyShop,2020-05-18,12.4
MyShop,2020-05-19,8.700000000000001
MyShop,2020-05-20,10.2
MyShop,2020-05-21,11.299999999999999
MyShop,2020-05-22,9.900000000000002
MyShop,2020-05-23,7.0
MyShop,2020-05-24,4.0
MyShop,2020-05-25,7.200000000000001
MyShop,2020-05-26,8.0
MyShop,2020-05-27,9.899999999999999
MyShop,2020-05-28,11.2
MyShop,2020-05-29,13.799999999999999
MyShop,2020-05-30,13.200000000000001
MyShop,2020-05-31,11.099999999999998
MyShop,2020-06-01,12.2
MyShop,2020-06-02,2.900000000000002
MyShop,2020-06-03,5.699999999999999
MyShop,2020-06-04,5.900000000000002
MyShop,2020-06-05,4.900000000000002
MyShop,2020-06-06,6.600000000000001
MyShop,2020-06-07,6.199999999999999
MyShop,2020-06-08,9.099999999999998
MyShop,2020-06-09,7.100000000000001
MyShop,2020-06-10,7.5
MyShop,2020-06-11,7.299999999999997
MyShop,2020-06-12,10.2
MyShop,2020-06-13,10.5
MyShop,2020-06-14,4.299999999999999
MyShop,2020-06-15,6.0
MyShop,2020-06-16,4.5
MyShop,2020-06-17,7.5
MyShop,2020-06-18,10.399999999999999
MyShop,2020-06-19,8.399999999999999
MyShop,2020-06-20,10.2
MyShop,2020-06-21,10.799999999999997
MyShop,2020-06-22,11.1
MyShop,2020-06-23,9.100000000000001
MyShop,2020-06-24,9.100000000000001
MyShop,2020-06-25,9.399999999999999
MyShop,2020-06-26,7.100000000000001
MyShop,2020-06-27,1.700000000000001
